airport_id,airport_name,iata,degree
6505,Phoenix-Mesa-Gateway Airport,AZA,64
3627,James M Cox Dayton International Airport,DAY,64
488,Cardiff International Airport,CWL,63
1187,Entebbe International Airport,EBB,63
6173,Lokpriya Gopinath Bordoloi International Airport,GAU,63
4315,Milas Bodrum International Airport,BJV,63
2897,Hato International Airport,CUR,63
3636,Tucson International Airport,TUS,62
3617,St Petersburg Clearwater International Airport,PIE,62
1754,Providenciales Airport,PLS,62
699,Stockholm Skavsta Airport,NYO,62
3676,McGhee Tyson Airport,TYS,62
2347,Sendai Airport,SDJ,62
1517,Alghero-Fertilia Airport,AHO,62
2612,Santos Dumont Airport,SDU,61
3034,Phnom Penh International Airport,PNH,61
3137,Calicut International Airport,CCJ,61
3989,Erbil International Airport,EBL,60
2913,Osh Airport,OSS,60
3622,Greater Rochester International Airport,ROC,60
4097,Lhasa Gonggar Airport,LXA,60
2219,Peshawar International Airport,PEW,60
3864,Albany International Airport,ALB,60
3660,Bill & Hillary Clinton National Airport/Adams Field,LIT,58
2881,Pointe-à-Pitre Le Raizet,PTP,58
4034,Greenville Spartanburg International Airport,GSP,58
603,Shannon Airport,SNN,58
3408,Sultan Abdul Aziz Shah International Airport,SZB,58
1779,Norman Manley International Airport,KIN,58
3898,Adi Sutjipto International Airport,JOG,58
6430,Yuncheng Guangong Airport,YCU,58
2268,Taichung Ching Chuang Kang Airport,RMQ,58
3017,Pune Airport,PNQ,58
196,Yellowknife Airport,YZF,58
6346,Baotou Airport,BAV,58
3599,Bethel Airport,BET,57
1005,Robert Gabriel Mugabe International Airport,HRE,57
2715,Alfonso Bonilla Aragon International Airport,CLO,57
3729,Des Moines International Airport,DSM,57
1064,Al Massira Airport,AGA,56
3807,Reno Tahoe International Airport,RNO,56
1515,Vincenzo Florio Airport Trapani-Birgi,TPS,56
2964,Platov International Airport,ROV,56
3685,Gerald R. Ford International Airport,GRR,56
3321,Gold Coast Airport,OOL,56
671,Katowice International Airport,KTW,56
1997,Bauerfield International Airport,VLI,56
260,Nnamdi Azikiwe International Airport,ABV,56
2990,Kazan International Airport,KZN,56
1020,Ndjili International Airport,FIH,55
1044,Modibo Keita International Airport,BKO,55
3641,Theodore Francis Green State Airport,PVD,55
3855,Tulsa International Airport,TUL,55
2993,Kurumoch International Airport,KUF,54
3007,Dabolim Airport,GOI,54
3903,Hang Nadim International Airport,BTH,54
738,Stockholm-Bromma Airport,BMA,54
918,Ivato Airport,TNR,54
2050,Hamid Karzai International Airport,KBL,54
2965,Sochi International Airport,AER,52
2745,Jose Maria Córdova International Airport,MDE,52
3745,Syracuse Hancock International Airport,SYR,52
1209,Zadar Airport,ZAD,52
8414,Modlin Airport,WMI,52
3263,Kuching International Airport,KCH,52
2934,Vladivostok International Airport,VVO,52
6387,Tunxi International Airport,TXN,52
663,"Tromsø Airport,",TOS,52
1957,Philip S. W. Goldson International Airport,BZE,52
1926,Owen Roberts International Airport,GCM,51
2762,El Alto International Airport,LPB,51
4008,Piedmont Triad International Airport,GSO,51
3839,Palm Springs International Airport,PSP,51
1508,Lamezia Terme Airport,SUF,50
3734,Ontario International Airport,ONT,50
1154,Benina International Airport,BEN,50
6434,Ordos Ejin Horo Airport,DSN,50
552,Exeter International Airport,EXT,49
3615,Nome Airport,OME,49
883,Maya-Maya Airport,BZV,49
1359,Montpellier-Méditerranée Airport,MPL,48
970,Libreville Leon M'ba International Airport,LBV,48
1897,Toussaint Louverture International Airport,PAP,48
3381,Xishuangbanna Gasa Airport,JHG,48
3266,Miri Airport,MYY,48
2771,Viru Viru International Airport,VVI,48
1807,General Ignacio P. Garcia International Airport,HMO,48
6361,Yichang Sanxia Airport,YIH,48
3120,Wattay International Airport,VTE,48
2104,Ahwaz Airport,AWZ,48
132,Rankin Inlet Airport,YRT,48
4356,Northwest Arkansas Regional Airport,XNA,48
3559,El Paso International Airport,ELP,47
1633,João Paulo II Airport,PDL,47
2878,Martinique Aimé Césaire International Airport,FDF,46
3589,Westchester County Airport,HPN,46
1737,Skopje Alexander the Great Airport,SKP,46
2816,Carrasco International /General C L Berisso Airport,MVD,46
2875,Sir Grantley Adams International Airport,BGI,46
3986,Memmingen Allgau Airport,FMM,46
4074,Honiara International Airport,HIR,46
3272,Brunei International Airport,BWN,46
3613,Savannah Hilton Head International Airport,SAV,46
2992,Ufa International Airport,UFA,46
1881,Daniel Oduber Quiros International Airport,LIR,45
4111,Roshchino International Airport,TJM,45
3693,Ralph Wien Memorial Airport,OTZ,45
338,Dresden Airport,DRS,44
1772,Ramón Villeda Morales International Airport,SAP,44
1506,Brindisi – Salento Airport,BDS,44
4112,Akron Canton Regional Airport,CAK,44
1059,Lungi International Airport,FNA,44
2944,Kiev Zhuliany International Airport,IEV,44
2962,Mineralnyye Vody Airport,MRV,44
6400,Mianyang Airport,MIG,43
2562,Santa Genoveva Airport,GYN,43
1226,Jerez Airport,XRY,43
6353,Dayong Airport,DYG,42
3977,Aden International Airport,ADE,42
4367,Aktau Airport,SCO,42
1652,Cluj-Napoca International Airport,CLJ,42
467,George Best Belfast City Airport,BHD,42
3564,Pensacola Regional Airport,PNS,42
3602,Lihue Airport,LIH,42
674,Poznań-Ławica Airport,POZ,42
2555,Hercílio Luz International Airport,FLN,42
3250,Sam Ratulangi Airport,MDC,42
3896,Husein Sastranegara International Airport,BDO,42
537,Glasgow Prestwick Airport,PIK,42
1742,Priština International Airport,PRN,42
799,King Shaka International Airport,DUR,42
628,Aalborg Airport,AAL,41
3808,Ketchikan International Airport,KTN,41
298,Lomé-Tokoin Airport,LFW,41
3495,Boise Air Terminal/Gowen Field,BOI,41
3514,Ellison Onizuka Kona International At Keahole Airport,KOA,41
2968,Chelyabinsk Balandino Airport,CEK,40
1528,Genoa Cristoforo Colombo Airport,GOA,40
3457,Wichita Eisenhower National Airport,ICT,40
916,Roland Garros Airport,RUN,40
4166,Karlsruhe Baden-Baden Airport,FKB,40
1227,San Javier Airport,MJV,40
2121,Esfahan Shahid Beheshti International Airport,IFN,40
1745,M. R. Štefánik Airport,BTS,40
3687,Fresno Yosemite International Airport,FAT,40
691,Gothenburg City Airport,GSE,40
1322,Calvi-Sainte-Catherine Airport,CLY,40
4119,Djibouti-Ambouli Airport,JIB,40
4149,Xuzhou Guanyin Airport,XUZ,40
6351,Beihai Airport,BHY,40
4011,Manchester-Boston Regional Airport,MHT,40
4017,Blue Grass Airport,LEX,40
1236,Reus Air Base,REU,39
3542,Harrisburg International Airport,MDT,39
1180,Kilimanjaro International Airport,JRO,39
3380,Chinggis Khaan International Airport,ULN,39
2850,Del Caribe Santiago Mariño International Airport,PMV,39
2613,Leite Lopes Airport,RAO,38
494,Bournemouth Airport,BOH,38
3956,Kaunas International Airport,KUN,38
1251,Santander Airport,SDR,38
4161,Yaoundé Nsimalen International Airport,NSI,38
6357,Zhanjiang Airport,ZHA,38
1080,Ibn Batouta Airport,TNG,38
4105,Hosea Kutako International Airport,WDH,38
2134,Bandar Abbas International Airport,BND,38
1609,Graz Airport,GRZ,38
2894,Hewanorra International Airport,UVF,37
2947,Odessa International Airport,ODS,37
498,Guernsey Airport,GCI,36
3492,Juneau International Airport,JNU,36
6394,Yiwu Airport,YIW,36
4274,Nizhny Novgorod Strigino International Airport,GOJ,36
3105,Chaudhary Charan Singh International Airport,LKO,36
2699,Silvio Pettirossi International Airport,ASU,36
1066,Saïss Airport,FEZ,36
3303,Senai International Airport,JHB,36
189,St. John's International Airport,YYT,36
1213,Almería International Airport,LEI,36
4113,Huntsville International Carl T Jones Field,HSV,36
2307,Kagoshima Airport,KOJ,36
3177,Samui Airport,USM,36
3580,Jackson-Medgar Wiley Evers International Airport,JAN,36
3582,Long Beach /Daugherty Field/ Airport,LGB,36
3644,Bob Hope Airport,BUR,36
2430,Kalibo International Airport,KLO,36
4162,Conakry International Airport,CKY,36
6385,Shubuling Airport,LYI,36
111,Quebec Jean Lesage International Airport,YQB,36
3366,Dongshan Airport,HLD,36
55,Iqaluit Airport,YFB,36
5673,Nador International Airport,NDR,36
5475,Nantong Airport,NTG,36
886,Pointe Noire Airport,PNR,36
8876,Yangzhou Taizhou Airport,YTY,36
3273,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,PKU,36
3244,Sentani International Airport,DJJ,35
2877,Douglas-Charles Airport,DOM,35
4043,The Eastern Iowa Airport,CID,35
7056,Charlotte County Airport,PGD,35
635,Bodø Airport,BOO,35
1102,Amílcar Cabral International Airport,SID,35
2322,Komatsu Airport,KMQ,34
1685,Adana Airport,ADA,34
2958,Omsk Central Airport,OMS,34
5674,Praia International Airport,RAI,34
2945,Lviv International Airport,LWO,34
3459,Dane County Regional Truax Field,MSN,34
