airport_id,airport_name,iata,betweenness
2673,José Joaquín de Olmedo International Airport,GYE,27835.445899878934
1524,Malpensa International Airport,MXP,27759.394128830267
2537,Tancredo Neves International Airport,CNF,26429.83987524204
1961,Nausori International Airport,SUV,26005.62042481358
2899,Princess Juliana International Airport,SXM,25869.645459806718
3256,"Pattimura Airport, Ambon",AMQ,25766.394070197413
4167,Orlando Sanford International Airport,SFB,25739.022427048858
248,Kotoka International Airport,ACC,25620.89814133423
7,Narsarsuaq Airport,UAK,25606.764896331395
2624,Tefé Airport,TFF,25552.0
5503,Chevery Airport,YHR,25542.0
1031,Bangoka International Airport,FKI,25531.000000000007
3992,Kansai International Airport,KIX,24923.03463811957
3250,Sam Ratulangi Airport,MDC,24625.91912686458
3131,Kempegowda International Airport,BLR,24301.075064197674
1054,Gran Canaria Airport,LPA,24206.3150968249
3244,Sentani International Airport,DJJ,24090.54934872061
1754,Providenciales Airport,PLS,23790.032886513884
3400,Taiping Airport,HRB,23721.31424709282
2937,Irkutsk Airport,IKT,23537.11991207307
1354,Nice-Côte d'Azur Airport,NCE,23462.001462866807
2771,Viru Viru International Airport,VVI,23352.357684040013
2923,Yakutsk Airport,YKS,23290.885882309332
1212,Alicante International Airport,ALC,23269.329263458538
3931,Chiang Mai International Airport,CNX,23156.152554952412
1230,Málaga Airport,AGP,22903.610580411478
1636,Francisco de Sá Carneiro Airport,OPO,22820.016431055712
907,Kenneth Kaunda International Airport Lusaka,LUN,22413.636264009052
6457,Kenmore Air Harbor Seaplane Base,LKE,22412.999999999996
3571,Wiley Post Will Rogers Memorial Airport,BRW,22241.098627539057
6718,St Mary's Airport,KSM,22122.857596292593
2305,Fukuoka Airport,FUK,22099.142889254694
2246,Antonio B. Won Pat International Airport,GUM,22073.215868208412
2910,Astana International Airport,TSE,21722.127592210974
1177,Julius Nyerere International Airport,DAR,21675.457997006062
2528,Pampulha - Carlos Drummond de Andrade Airport,PLU,21474.68810449247
2194,Muscat International Airport,MCT,21129.097781297558
1926,Owen Roberts International Airport,GCM,20003.22078954484
1175,Khartoum International Airport,KRT,19975.77167449718
3120,Wattay International Airport,VTE,19799.63925305767
636,Bergen Airport Flesland,BGO,19581.5041793656
492,London Luton Airport,LTN,19469.99606197887
4248,Kulusuk,KUS,19432.059585325715
1525,Il Caravaggio International Airport,BGY,19403.933404066
111,Quebec Jean Lesage International Airport,YQB,19304.619138464728
415,Lennart Meri Tallinn Airport,TLL,19298.616222986562
3144,Chennai International Airport,MAA,19251.338359530764
7128,Toowoomba Airport,TWB,19233.861009692682
2545,Afonso Pena Airport,CWB,19210.623474269345
3854,Cold Bay Airport,CDB,19167.00000000002
18,Reykjavik Airport,RKV,19167.0
4242,Tanna Airport,TAH,19164.99999999999
2728,Alfredo Vásquez Cobo International Airport,LET,19163.0
5461,Rigolet Airport,YRG,19161.000000000007
3720,Portland International Airport,PDX,19105.11728558872
1084,Léopold Sédar Senghor International Airport,DKR,19066.722355416463
1633,João Paulo II Airport,PDL,18962.56105706359
1273,Toulouse-Blagnac Airport,TLS,18669.76389708522
1587,Václav Havel Airport Prague,PRG,18266.033498516383
121,Thunder Bay Airport,YQT,18189.911610580682
4206,Mactan Cebu International Airport,CEB,17945.17315126317
893,Sir Seewoosagur Ramgoolam International Airport,MRU,17306.760782238987
679,Warsaw Chopin Airport,WAW,17225.34696621867
155,Norman Wells Airport,YVQ,17034.666666665802
1187,Entebbe International Airport,EBB,17025.84940045935
532,Aberdeen Dyce Airport,ABZ,16826.9933653412
3764,Edward G. Pitka Sr Airport,GAL,16568.397619047013
3420,Fort Yukon Airport,FYU,16421.456526153564
2983,Tashkent International Airport,TAS,16391.563218649953
3393,Chongqing Jiangbei International Airport,CKG,16347.480593295368
2042,Wellington International Airport,WLG,16236.048274389148
7088,Unalakleet Airport,UNK,16196.736930362444
2584,João Correa da Rocha Airport,MAB,16093.594613800273
2170,Queen Alia International Airport,AMM,16043.986243778172
2157,Shiraz Shahid Dastghaib International Airport,SYZ,15824.99264189294
503,London City Airport,LCY,15815.46776739264
2009,Christchurch International Airport,CHC,15673.873088284445
4092,Maestro Wilson Fonseca Airport,STM,15481.475695771082
4362,Talagi Airport,ARH,15169.262630941066
3383,Xiamen Gaoqi International Airport,XMN,14881.180533692277
2933,Yuzhno-Sakhalinsk Airport,UUS,14875.391500078616
2715,Alfonso Bonilla Aragon International Airport,CLO,14753.770206089972
2074,Prince Mohammad Bin Abdulaziz Airport,MED,14547.801532464038
3323,Charleville Airport,CTL,14528.200884621901
1682,Esenboğa International Airport,ESB,14495.863250329632
1036,Goma International Airport,GOM,14378.500000000004
1909,José Martí International Airport,HAV,14372.856089857822
2612,Santos Dumont Airport,SDU,14319.665470097712
3456,Kahului Airport,OGG,14079.863780463005
3473,Memphis International Airport,MEM,14019.323199055836
4105,Hosea Kutako International Airport,WDH,13920.691136400905
3980,Sana'a International Airport,SAH,13636.858827420223
231,Es Senia Airport,ORN,13502.570937002141
2287,New Chitose Airport,CTS,13454.577308086189
5674,Praia International Airport,RAI,13373.701491115538
4325,Hammerfest Airport,HFT,13260.79254048417
4119,Djibouti-Ambouli Airport,JIB,13019.699167976552
2769,Teniente Av. Jorge Henrich Arauz Airport,TDD,12922.526357985997
189,St. John's International Airport,YYT,12869.664715243802
797,Cape Town International Airport,CPT,12843.257999611727
3337,Launceston Airport,LST,12841.289170975258
4019,Albuquerque International Sunport,ABQ,12820.496646143638
8174,Friday Harbor Seaplane Base,FBS,12819.999999999998
2856,General Manuel Carlos Piar International Airport,PZO,12796.976032054636
2729,Enrique Olaya Herrera Airport,EOH,12787.068398268406
3864,Albany International Airport,ALB,12780.471087380813
2180,Bateen Airport,AZI,12780.000000000004
6296,Maningrida Airport,MNG,12780.0
7240,Sleetmute Airport,SLQ,12779.000000000016
5442,Qaqortoq Heliport,JJU,12778.000000000007
5448,Upernavik Airport,JUV,12778.000000000007
5492,Makkovik Airport,YMN,12778.000000000005
1594,Eilat Airport,ETH,12778.000000000004
1122,Berbera Airport,BBO,12778.000000000004
6197,Dawei Airport,TVY,12778.0
6325,St George Airport,SGO,12777.999999999996
8225,Old Arctic Bay Airport,YAB,12777.999999999993
7288,Placencia Airport,PLJ,12774.059523809392
7238,Crooked Creek Airport,CKD,12773.000000000005
7091,Chuathbaluk Airport,CHU,12770.0
1037,Kindu Airport,KND,12762.000000000002
1551,Venice Marco Polo Airport,VCE,12449.190052548169
2249,Marshall Islands International Airport,MAJ,12407.90441164791
916,Roland Garros Airport,RUN,12292.908632745888
2378,Gimpo International Airport,GMP,12220.089292253811
2939,Boryspil International Airport,KBP,12196.438955749509
552,Exeter International Airport,EXT,12066.418247293768
2121,Esfahan Shahid Beheshti International Airport,IFN,11967.149589241426
2207,Alama Iqbal International Airport,LHE,11945.94613656006
2264,Kaohsiung International Airport,KHH,11909.046824243615
3179,Phuket International Airport,HKT,11896.825808510715
4078,Tolmachevo Airport,OVB,11884.578630955992
5422,Gurney Airport,GUR,11708.29865170331
