airport,outgoing_routes,incoming_routes,total_connectivity
SJO,76,73,149
DAC,74,74,148
PIT,74,74,148
HYD,74,73,147
MTY,72,73,145
RAK,73,72,145
PUJ,73,70,143
LUX,70,70,140
YEG,68,71,139
HKT,71,67,138
IND,69,69,138
BGO,69,68,137
SAT,68,68,136
EIN,68,67,135
ALA,67,67,134
BOD,67,67,134
DKR,67,67,134
DMK,67,67,134
ADB,66,67,133
BEY,67,66,133
NAS,66,67,133
SOF,66,66,132
CGQ,64,67,131
INC,65,66,131
SUB,65,66,131
KHH,65,64,129
LJG,65,64,129
AEP,65,63,128
BIO,65,63,128
CMH,63,65,128
GYD,64,64,128
LCY,62,66,128
MHD,65,63,128
RSW,63,65,128
SVQ,65,62,127
PMO,63,63,126
KHI,62,63,125
MKE,65,60,125
OKA,61,62,123
IKA,60,62,122
DBV,60,61,121
THR,60,61,121
BVA,60,60,120
LIN,60,60,120
SJC,60,60,120
LOS,60,59,119
ZUH,60,59,119
ANC,59,59,118
CJU,59,59,118
COK,59,59,118
