country,airport_count,average_latitude,average_longitude
Saudi Arabia,46,24.45370724299762,43.9317995415002
Madagascar,45,-16.78438538515512,44.20985633630972
Botswana,45,-17.944187401452744,21.64456843803355
Burma,44,20.435587725077905,96.9010944112632
Ecuador,44,-1.355667917937508,-80.5599735119391
Congo (Kinshasa),44,-2.7655374751630437,21.67913477495886
Tanzania,43,-5.212226070175364,35.74684543947248
Bahamas,42,24.549201872693207,-76.5561331740191
Nepal,41,27.918902160571783,84.65573944665014
Nigeria,40,8.992311250582866,8.452052246633361
United Arab Emirates,40,24.854009980576144,50.92887720997565
Czech Republic,39,49.950939714593744,14.901994918666219
Kazakhstan,39,48.37538071889397,68.61844326921826
Cuba,34,21.817021740502764,-79.57728694927204
Hong Kong,34,22.33238695088839,114.11709472322795
Hungary,34,44.51610607959102,13.17746107140832
Panama,33,8.690210120045071,-79.22855564416109
Ethiopia,33,9.352153259476292,38.562292456299815
Vietnam,33,15.067590079403264,106.92340886110665
Marshall Islands,32,8.348823814130583,169.02034897445066
Egypt,32,28.462928448853088,32.23716580560275
Romania,31,45.911310671210316,24.4349653077109
Costa Rica,31,9.79870283527082,-84.17256316872245
Morocco,29,33.129477540698105,-6.2646499506367626
Vanuatu,29,-16.454503755076757,168.17150963650548
Mozambique,28,-17.109055150466055,36.86883117868066
Angola,27,-10.563356827451798,15.686170157822778
Bolivia,27,-17.06977957690023,-65.69660220105824
Suriname,27,4.294888404980164,-55.61234919887574
Iceland,27,65.0958689992662,-19.0190578000788
Solomon Islands,27,-8.014235324912214,152.96732466781245
Ireland,26,52.86731203813716,-8.23341692404052
French Guiana,26,4.5034169557373085,-49.224001738084624
Namibia,25,-22.441648566788043,17.25713959770656
Israel,24,31.694411464645214,34.96215893179677
Afghanistan,23,33.99787600018369,66.66658948208142
Croatia,23,44.551181626536014,15.870142612869504
Libya,22,29.739410124754375,17.38760831853074
Sudan,21,13.072188962613197,30.258544601264713
Antarctica,21,-68.34049182934457,4.4693099706022315
Fiji,20,-17.290607672893454,88.84894751743087
Guyana,19,5.474909068573965,-59.14675521179811
Zimbabwe,19,-18.4192702240234,28.869528181822105
Kiribati,18,0.09476498414825713,136.64438800698522
Belarus,18,53.367073402308776,28.04538488455009
Belize,18,19.79561881872071,-91.73239360119356
Sri Lanka,17,7.282272898651731,80.6026602087761
Mongolia,17,46.83041870084147,101.9486038913172
Zambia,17,-11.215535839280157,19.481067089995744
Faroe Islands,17,62.06053509149177,-6.838923006562875
Dominican Republic,17,18.779586119319053,-70.01110534371243
Iraq,16,34.00657508902006,44.29075939684537
Uruguay,16,-33.37983443820987,-49.49224434442171
Azerbaijan,16,40.22979279179722,49.13131441771047
Bulgaria,16,42.654974242887626,25.312848903393892
Slovakia,15,42.23490382738796,18.66471896891178
Nicaragua,15,12.547089090987141,-84.90468377513022
Puerto Rico,15,18.315786907684398,-65.96642237209801
Georgia,15,42.74222105460667,41.589475947493334
Uganda,15,3.781561669607163,23.904924740861002
Somalia,14,6.841007686090209,45.88333340728097
Gabon,14,-0.9074286231592827,11.13581044858642
Laos,14,18.7299896759599,103.3129076764294
Honduras,14,15.566466552464078,-86.46899344520787
Haiti,14,18.95780700618199,-72.75411513134766
Cambodia,13,11.361407313558267,92.75908290956922
Bangladesh,13,23.38581048040302,90.03961983240684
Estonia,13,58.655540710123766,24.42319520868792
Armenia,13,40.57086088206154,44.48582011816924
Tunisia,13,34.95951748753005,9.859356179100624
Seychelles,13,-6.143043420033293,53.55080307850811
Uzbekistan,13,40.46471522404212,66.81814633883684
Singapore,12,1.3478834113992078,103.90528764483072
Kyrgyzstan,12,41.65497232087725,74.33119811813594
Yemen,11,14.931681719695545,47.635563243515485
Senegal,11,14.018802841852361,-15.158220962180396
Malawi,11,-13.016573037706854,34.407583682156634
New Caledonia,11,-21.178745789961383,166.16454523259944
Netherlands Antilles,11,15.80588052766791,-65.08642466818246
Lithuania,11,55.30214464302102,23.748258527697853
Mauritania,11,18.870509022799407,-12.328573003733133
Oman,11,21.196752058449487,56.56735668980823
North Korea,11,39.91677809090909,127.29985309090908
Guatemala,11,15.255656493852513,-90.48442754177371
South Sudan,11,9.864149737546011,28.69901939481698
Reunion,10,-21.275721280163573,45.630305372045896
Cameroon,10,6.001124954223778,11.457150936127011
Mali,10,16.933367079653397,-12.207779125160096
Paraguay,9,-25.07928226642524,-56.87432202452257
Guinea,9,10.08755575100541,-11.332455158601233
Slovenia,9,46.00375956933595,14.480314934217704
Serbia,9,44.01267759296667,20.621700133044445
Jordan,8,31.20757382527163,36.01306683316831
Sierra Leone,8,8.156178526111603,-12.312402742370605
Malta,8,33.27971350000001,17.073211
Virgin Islands,8,18.181626873474123,-64.86768403259278
Turkmenistan,8,39.57729081802368,58.40512479043579
Guadeloupe,8,16.36291541500425,-61.63223764407036
Cote d'Ivoire,8,7.200267553330179,-6.026321232318481
Latvia,8,56.75637757591485,23.84281280440713
Cook Islands,8,-17.658382296567837,-158.70976066591112
Chad,7,12.681807300105788,18.936542488013
Niger,7,14.99232855442592,8.150712836042132
Cape Verde,7,15.894985777503292,-23.76649993547193
Jamaica,7,18.26665148148008,-77.28713902239542
Falkland Islands,7,-51.98350544935831,-58.7601627299805
Micronesia,7,7.999665682423131,147.82088442930356
Moldova,7,47.170850894640964,28.488074339054798
Tonga,6,-18.75498281781849,-174.63918001478123
Turks and Caicos Islands,6,21.635053193969366,-71.64646691520001
Ghana,6,7.369588295618693,-1.5386716400583584
Cyprus,6,34.95420948661296,33.26519648286946
Syria,6,35.30944949035645,38.22883223925781
Bosnia and Herzegovina,6,43.95270892949219,18.068501333642576
Macau,5,22.174069799999998,113.57158102000001
Albania,5,41.31831973772656,19.8222596075425
Tajikistan,5,38.422640228279064,69.73787994383922
Montenegro,5,42.424961846582036,18.82088118676758
Saint Vincent and the Grenadines,5,12.866426132265271,-61.26929801001023
Trinidad and Tobago,5,10.810711204272462,-61.010370652294924
Congo (Brazzaville),5,-2.576749193232727,14.755299847106935
Antigua and Barbuda,5,17.210603999999996,-61.698522600000004
Comoros,4,-11.918575051117333,43.67812533722618
Palau,4,7.156257999999999,134.3555035
British Virgin Islands,4,18.510613416595458,-64.47918619665528
Togo,4,8.82505641040802,0.9925365322360993
Qatar,4,25.1211892584,51.351189156675005
American Samoa,4,-14.240452832025,-169.8290301785
Martinique,4,14.63535615081787,-61.08099838275146
Cayman Islands,4,19.484620544489548,-80.68214544360274
Svalbard,4,78.39446056595,14.784575
Bhutan,4,27.276587262375003,90.53756577345
Brunei,4,4.887800030707478,114.55547629695215
Samoa,4,-13.731499881743849,-172.1584436759844
Bermuda,4,32.349504353271485,-64.75457757702637
Eritrea,3,14.677899996439615,40.308600107828774
Djibouti,3,11.765766779581705,43.11449940999349
Western Sahara,3,25.867266333333333,-13.611966666666667
Northern Mariana Islands,3,14.764166687011718,145.53033450390626
Rwanda,3,-2.036023313484192,29.435433181762694
Dominica,3,15.393372146484376,-61.36000315665691
Equatorial Guinea,3,1.4168210059636435,8.045448160725911
East Timor,3,-8.779580116272369,125.73800150582552
Lesotho,3,-29.4375,27.77566655476888
Benin,3,8.953236681315104,2.6448036662597656
Kuwait,3,29.169366836535872,47.7605336507276
Central African Republic,3,5.964093989013672,18.500807525594073
Saint Kitts and Nevis,3,17.269121036295573,-62.67269145979818
Grenada,3,12.177024327229818,-61.67132782568359
Liberia,3,5.633956776631673,-9.605983443196614
Saint Lucia,3,13.874107,-61.00636533333334
Lebanon,3,34.0869992574056,35.82913335164388
Guinea-Bissau,3,11.493351936340332,-15.557426452636719
El Salvador,3,13.528166821289062,-88.7675348219401
Montserrat,2,16.79139495471191,-62.19331566992187
Guernsey,2,49.57055268664551,-2.408344978675842
Sao Tome and Principe,2,1.0205575078725815,7.061944961547852
Burundi,2,-3.3706144544525145,29.614904259399413
Saint Pierre and Miquelon,2,46.92920112607617,-56.27669906616113
South Georgia and the Islands,2,-54.2210035,-36.4072735
Barbados,2,13.087878609850002,-59.5606126526
Swaziland,2,-26.44380516430664,31.5122224196167
Aruba,2,12.5104225,-70.02891600000001
Guam,2,13.5337001724,144.8630016245
Wallis and Futuna,2,-13.774850368500001,-177.13249969499998
Macedonia,2,41.570800500000004,21.1818505
Luxembourg,2,49.611666650000004,6.1691722
Burkina Faso,2,11.756649991607667,-2.92169490524292
Bahrain,2,26.094599723815918,50.612098693847656
Mauritius,2,-20.0939505,60.5223005
Anguilla,1,18.2048,-63.055099
British Indian Ocean Territory,1,-7.31327,72.411102
Jersey,1,49.20790100097656,-2.195509910583496
Norfolk Island,1,-29.04159927368164,167.93899536132812
Saint Helena,1,-7.9696,-14.3937
